district_id,district_name,crop_id,crop_name,season_id,season_name,recommended_sowing_month_start,recommended_sowing_month_end,recommended_harvest_month_start,recommended_harvest_month_end,irrigated_suitability,rainfed_suitability,soil_suitability,climate_suitability,major_soil_type,irrigation_requirement,source_name,source_reference,source_year,data_status,confidence_level,reference_scope
STATE_ODISHA,Odisha (State-level),CRP001,Groundnut,SEA01,Kharif,Jun,Jul,Sep,Oct,Medium,High,Medium,High,Sandy loam / red,Medium,Project agronomy prototype (state-level reference),Synthetic prototype based on general crop calendar structure; not district-specific,2026,STATE_LEVEL_REFERENCE,Medium,state_level_not_district_specific
STATE_ODISHA,Odisha (State-level),CRP002,Horse Gram,SEA99,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Project agronomy prototype (state-level reference),Synthetic prototype based on general crop calendar structure; not district-specific,2026,STATE_LEVEL_REFERENCE_UNSPECIFIED,Low,state_level_not_district_specific
STATE_ODISHA,Odisha (State-level),CRP003,Jute,SEA01,Kharif,Mar,Apr,Jul,Aug,High,Medium,High,High,Alluvial / clay loam,High,Project agronomy prototype (state-level reference),Synthetic prototype based on general crop calendar structure; not district-specific,2026,STATE_LEVEL_REFERENCE,Medium,state_level_not_district_specific
STATE_ODISHA,Odisha (State-level),CRP004,Maize,SEA01,Kharif,Jun,Jul,Sep,Oct,Medium,Medium,Medium,High,Red / alluvial,Medium,Project agronomy prototype (state-level reference),Synthetic prototype based on general crop calendar structure; not district-specific,2026,STATE_LEVEL_REFERENCE,Medium,state_level_not_district_specific
STATE_ODISHA,Odisha (State-level),CRP005,Moong(Green Gram),SEA02,Rabi,Oct,Nov,Jan,Feb,Low,High,Medium,Medium,Sandy loam / alluvial,Low,Project agronomy prototype (state-level reference),Synthetic prototype based on general crop calendar structure; not district-specific,2026,STATE_LEVEL_REFERENCE,Medium,state_level_not_district_specific
STATE_ODISHA,Odisha (State-level),CRP006,Potato,SEA02,Rabi,Oct,Nov,Jan,Feb,High,Medium,Medium,Medium,Sandy loam / alluvial,High,Project agronomy prototype (state-level reference),Synthetic prototype based on general crop calendar structure; not district-specific,2026,STATE_LEVEL_REFERENCE,Medium,state_level_not_district_specific
STATE_ODISHA,Odisha (State-level),CRP007,Ragi,SEA01,Kharif,Jun,Jul,Sep,Oct,Medium,High,Medium,Medium,Red / lateritic,Low,Project agronomy prototype (state-level reference),Synthetic prototype based on general crop calendar structure; not district-specific,2026,STATE_LEVEL_REFERENCE,Medium,state_level_not_district_specific
STATE_ODISHA,Odisha (State-level),CRP008,Rapeseed &Mustard,SEA02,Rabi,Oct,Nov,Jan,Feb,Medium,High,Medium,Medium,Loam / alluvial,Medium,Project agronomy prototype (state-level reference),Synthetic prototype based on general crop calendar structure; not district-specific,2026,STATE_LEVEL_REFERENCE,Medium,state_level_not_district_specific
STATE_ODISHA,Odisha (State-level),CRP009,Rice,SEA01,Kharif,Jun,Jul,Nov,Dec,High,Medium,High,High,Alluvial / coastal / red,High,Project agronomy prototype (state-level reference),Synthetic prototype based on general crop calendar structure; not district-specific,2026,STATE_LEVEL_REFERENCE,Medium,state_level_not_district_specific
STATE_ODISHA,Odisha (State-level),CRP010,Sesamum,SEA01,Kharif,Jun,Jul,Sep,Oct,Low,Medium,Medium,Medium,Sandy loam / red,Low,Project agronomy prototype (state-level reference),Synthetic prototype based on general crop calendar structure; not district-specific,2026,STATE_LEVEL_REFERENCE,Medium,state_level_not_district_specific
STATE_ODISHA,Odisha (State-level),CRP011,Sugarcane,SEA03,Annual,Jan,Mar,Dec,Mar,High,Medium,High,High,Alluvial / loam,High,Project agronomy prototype (state-level reference),Synthetic prototype based on general crop calendar structure; not district-specific,2026,STATE_LEVEL_REFERENCE,Medium,state_level_not_district_specific
STATE_ODISHA,Odisha (State-level),CRP012,Urad,SEA02,Rabi,Oct,Nov,Jan,Feb,Low,High,Medium,Medium,Loam / alluvial,Low,Project agronomy prototype (state-level reference),Synthetic prototype based on general crop calendar structure; not district-specific,2026,STATE_LEVEL_REFERENCE,Medium,state_level_not_district_specific
STATE_ODISHA,Odisha (State-level),CRP013,Wheat,SEA99,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Project agronomy prototype (state-level reference),Synthetic prototype based on general crop calendar structure; not district-specific,2026,STATE_LEVEL_REFERENCE_UNSPECIFIED,Low,state_level_not_district_specific
